facet_id,facet_name,category,description,scale_min,scale_max,scale_type
178,Activator: Turning thoughts into action,Behavioral,Evaluates behavioral pattern: Activator: Turning thoughts into action,1,5,ordinal
16,Adventure-Seeking Behavior,Behavioral,Evaluates behavioral pattern: Adventure-Seeking Behavior,1,5,ordinal
141,Bahá'í spiritual metric: Ridván festival participation,Behavioral,Evaluates behavioral pattern: Bahá'í spiritual metric: Ridván festival participation,1,5,ordinal
191,Behavioral Tendencies and Subcomponents,Behavioral,Evaluates behavioral pattern: Behavioral Tendencies and Subcomponents,1,5,ordinal
317,Choir participation years,Behavioral,Evaluates behavioral pattern: Choir participation years,1,5,ordinal
92,Collaboration,Behavioral,Evaluates behavioral pattern: Collaboration,1,5,ordinal
223,Controlling Reactions,Behavioral,Evaluates behavioral pattern: Controlling Reactions,1,5,ordinal
312,Cooperation,Behavioral,Evaluates behavioral pattern: Cooperation,1,5,ordinal
66,Creative risk-taking tendency,Behavioral,Evaluates behavioral pattern: Creative risk-taking tendency,1,5,ordinal
57,Decision-making decisiveness,Behavioral,Evaluates behavioral pattern: Decision-making decisiveness,1,5,ordinal
289,Decision-making speed,Behavioral,Evaluates behavioral pattern: Decision-making speed,1,5,ordinal
226,Dietary Habits,Behavioral,Evaluates behavioral pattern: Dietary Habits,1,5,ordinal
362,Eating Habits (Home-Cooked vs. Eating Out),Behavioral,Evaluates behavioral pattern: Eating Habits (Home-Cooked vs. Eating Out),1,5,ordinal
107,Encouraging participation,Behavioral,Evaluates behavioral pattern: Encouraging participation,1,5,ordinal
174,Goal-Directed Behavior,Behavioral,Evaluates behavioral pattern: Goal-Directed Behavior,1,5,ordinal
315,Impulsivity,Behavioral,Evaluates behavioral pattern: Impulsivity,1,5,ordinal
249,Initiative,Behavioral,Evaluates behavioral pattern: Initiative,1,5,ordinal
231,Leadership Styles and Behaviors,Behavioral,Evaluates behavioral pattern: Leadership Styles and Behaviors,1,5,ordinal
137,Need for social interaction,Behavioral,Evaluates behavioral pattern: Need for social interaction,1,5,ordinal
266,Participation in Community Activities,Behavioral,Evaluates behavioral pattern: Participation in Community Activities,1,5,ordinal
138,Peer-collaboration hours,Behavioral,Evaluates behavioral pattern: Peer-collaboration hours,1,5,ordinal
221,Perseverance,Behavioral,Evaluates behavioral pattern: Perseverance,1,5,ordinal
337,Persistence,Behavioral,Evaluates behavioral pattern: Persistence,1,5,ordinal
43,Pilgrimage participation count,Behavioral,Evaluates behavioral pattern: Pilgrimage participation count,1,5,ordinal
271,Robotics-interaction frequency,Behavioral,Evaluates behavioral pattern: Robotics-interaction frequency,1,5,ordinal
351,Sacred text engagement: Quran surahs memorized,Behavioral,Evaluates behavioral pattern: Sacred text engagement: Quran surahs memorized,1,5,ordinal
303,Sacred text engagement: Zohar (Kabbalah) study hours,Behavioral,Evaluates behavioral pattern: Sacred text engagement: Zohar (Kabbalah) study hours,1,5,ordinal
314,Sikh spiritual metric: Kirtan participation frequency,Behavioral,Evaluates behavioral pattern: Sikh spiritual metric: Kirtan participation frequency,1,5,ordinal
301,Snacking Behavior,Behavioral,Evaluates behavioral pattern: Snacking Behavior,1,5,ordinal
111,Social Interaction Skills,Behavioral,Evaluates behavioral pattern: Social Interaction Skills,1,5,ordinal
219,Transactional Leadership,Behavioral,Evaluates behavioral pattern: Transactional Leadership,1,5,ordinal
136,Well-being component: Engagement,Behavioral,Evaluates behavioral pattern: Well-being component: Engagement,1,5,ordinal
202,Auditory Memory Recall,Cognitive,Assesses cognitive ability or mental process: Auditory Memory Recall,1,5,ordinal
95,Auditory memory,Cognitive,Assesses cognitive ability or mental process: Auditory memory,1,5,ordinal
323,Cognitive measure: Working Memory Index,Cognitive,Assesses cognitive ability or mental process: Cognitive measure: Working Memory Index,1,5,ordinal
209,Comprehension of spoken information,Cognitive,Assesses cognitive ability or mental process: Comprehension of spoken information,1,5,ordinal
168,Creativity in solutions,Cognitive,Assesses cognitive ability or mental process: Creativity in solutions,1,5,ordinal
89,Critical reasoning,Cognitive,Assesses cognitive ability or mental process: Critical reasoning,1,5,ordinal
193,Divided Attention Ability,Cognitive,Assesses cognitive ability or mental process: Divided Attention Ability,1,5,ordinal
371,Economic reasoning,Cognitive,Assesses cognitive ability or mental process: Economic reasoning,1,5,ordinal
49,Innovation and Creativity Components,Cognitive,Assesses cognitive ability or mental process: Innovation and Creativity Components,1,5,ordinal
284,Intelligence Quotient (IQ),Cognitive,Assesses cognitive ability or mental process: Intelligence Quotient (IQ),1,5,ordinal
73,Logical Sequence Identification,Cognitive,Assesses cognitive ability or mental process: Logical Sequence Identification,1,5,ordinal
79,Memory for Sounds,Cognitive,Assesses cognitive ability or mental process: Memory for Sounds,1,5,ordinal
286,Non-Verbal Communication Skills,Cognitive,Assesses cognitive ability or mental process: Non-Verbal Communication Skills,1,5,ordinal
340,Numerical Reasoning,Cognitive,Assesses cognitive ability or mental process: Numerical Reasoning,1,5,ordinal
26,Numerical Reasoning Subcomponents,Cognitive,Assesses cognitive ability or mental process: Numerical Reasoning Subcomponents,1,5,ordinal
230,Psychological construct: Consummatory Pleasure scale,Cognitive,Assesses cognitive ability or mental process: Psychological construct: Consummatory Pleasure scale,1,5,ordinal
